,0
Quiz_Submitted,5.485687313773763
Quiz_Reviewed,3.0405408693810716
Files_Uploaded,1.5958332922050846
Quiz_Started,1.437296422278281
Quiz_Viewed,0.8635841268948375
Files_Downloaded,0.7688953938203372
Session_Start_Hour_STD,0.6511697656639546
Meeting_Joined,0.645096595883134
Content_Views,0.6384723880653385
Messages_Sent,0.6227162667635021
Assignments_Submitted,0.545037493399589
Module_Views,0.5404609283009241
Session_Interval_CV,0.48856379078037354
Avg_Time_Per_Session,0.36665019425755974
Num_Sessions,0.3126275558879424
Total_Time_Online,0.2993062262456528
Course_Views,0.25764985191797846
Total_Clicks,0.16476361329176434
Forum_Views,0.1644849716438889
Forum_Posts,0.006742636418723335
Max_Inactivity_Period,0.0011817755608784933
Assignment_Views,0.0
